"","sample","source","treatment","block","ditch","Percent_Loss","temp_degC","moisture","pH","c_percent","n_percent","C_N","n_nh4_ug_gsoil","n_no3_ug_gsoil","p_po4_hcl_ug_gsoil","p_po4_w_ug_gsoil","richness","shannon","simp.even","J"
"WRC18_163_bulk","WRC18_163","bulk_soil","M",1,1,NA,12.3,35.6,4.19,5.39,0.3,17.97,0.434,0,169.542,0,3506,6.25393658454021,0.0420761930911084,0.778908107962249
"WRC18_164_bulk","WRC18_164","bulk_soil","MF",1,1,NA,10.8,26.4,4.18,2.59,0.16,16.19,0.187,0,200.566,0.453,3418,6.28005847083763,0.0445659808387801,0.783023277347167
"WRC18_167_bulk","WRC18_167","bulk_soil","M",2,0,NA,13.3,33.6,3.56,4.72,0.22,21.45,0.636,0.014,117.773,0.435,3740,5.85472067040035,0.0298764666878705,0.739974541784145
"WRC18_168_bulk","WRC18_168","bulk_soil","MF",2,0,NA,14,35.4,3.77,4.89,0.24,20.38,0.553,0.175,294.123,5.284,3158,5.96493838034808,0.031527912622049,0.752281905188036
"WRC18_171_bulk","WRC18_171","bulk_soil","M",3,1,NA,11.8,23.6,4.12,2.47,0.15,16.47,0.261,0.076,105.755,0.073,2747,6.00617452909187,0.035026508360875,0.761944570701363
"WRC18_172_bulk","WRC18_172","bulk_soil","MF",3,1,NA,12,32.1,4.11,5.45,0.3,18.17,0.234,0,405.053,1.226,3190,6.31058189994217,0.0376800314518048,0.783390400800807
"WRC18_175_bulk","WRC18_175","bulk_soil","M",4,0,NA,12.3,35.5,3.86,4.74,0.24,19.75,0.105,0.082,141.245,0.126,3086,5.93088562275165,0.028831026283241,0.748021240905338
"WRC18_176_bulk","WRC18_176","bulk_soil","MF",4,0,NA,13.3,36.8,4.02,6.36,0.33,19.27,0.133,0.104,304.001,1.936,2931,6.16080657587292,0.039724176430749,0.773431840833984
"WRC18_179_bulk","WRC18_179","bulk_soil","M",5,1,NA,11.8,27.6,4.16,3.78,0.21,18,0.296,0,101.65,-0.054,3338,6.03895042653752,0.0370409918535105,0.762032296112796
"WRC18_180_bulk","WRC18_180","bulk_soil","MF",5,1,NA,12.8,29,4.19,4.07,0.22,18.5,0.428,0,222.705,0.976,3758,6.27974596880956,0.036991055317197,0.776491585780181
"WRC18_183_bulk","WRC18_183","bulk_soil","M",6,0,NA,15,34.1,4.11,4.62,0.24,19.25,0.081,0.179,115.138,0.093,3188,5.97785069218804,0.0322334255023002,0.751385013396554
"WRC18_184_bulk","WRC18_184","bulk_soil","MF",6,0,NA,13.7,38.1,4.21,4.93,0.26,18.96,0.21,0,322.486,2.812,4391,6.47232520860906,0.0408043063630119,0.790344602395108
"WRC18_187_bulk","WRC18_187","bulk_soil","M",7,1,NA,14,27.6,3.91,3.05,0.18,16.94,0.2,0,115.97,0.085,2847,6.06471233238853,0.0351355242548653,0.76441487324184
"WRC18_188_bulk","WRC18_188","bulk_soil","MF",7,1,NA,14,35.3,4.26,4.89,0.29,16.86,0.21,0,265.809,1.49,3382,6.43160252143061,0.0407629712920269,0.791895934781102
"WRC18_191_bulk","WRC18_191","bulk_soil","M",8,0,NA,12.7,34.3,4.01,3.67,0.2,18.35,0.221,0.268,121.264,0.113,2783,5.89584890838881,0.0277820256341059,0.745000417724078
"WRC18_192_bulk","WRC18_192","bulk_soil","MF",8,0,NA,12.7,36.2,4.24,4.26,0.24,17.75,0.307,0.691,276.878,1.623,3603,6.52529327347206,0.0464815640296248,0.801086920888758
